Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
45,"NAVJEEVAN HIGH SCHOOL AND KANISHTTHA MAHAVIDYALAYA, PATHRAI",27090604102,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,PATHARAI,441401,"Patharai, Tah- Ramtek, Dist - Nagpur",Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Pathrai,Patharai,Ramtek
46,"Z.P. PS, HIWARA (PATHARAI)",27090604201,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,HIWARA(PATHARAI),441401,"AT-HIWARA,PO-PATHARAI,TH-RAMTEK,DISTT-NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pathrai,Patharai,Ramtek
47,"Z.P. PS, SALAI (PIPRIYA)",27090604301,MAHARASHTRA,NAGPUR,RAMTEK,PS. PIPARIYA ,SALAI(PIPARIYA),441401,"AT-SALAI,PO-PIPARIYA,TH-RAMTEK,DISTT-NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Salai,Pipriya,Ramtek
48,"Z.P. PS, DEOLAPAR",27090604401,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,DEOLAPAR,441401,"Z.P.P.SCHOOL DEOLAPAR, PO.DEOLAPAR, TA.RAMTEK ,DI.NAGPUR",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Deolapar,Dewlapar,Ramtek
49,PRATHMIK ASHRAM SCH. DEOLAPAR,27090604402,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,DEOLAPAR,441401,devlapar ta-ramtek dist-nagpur,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Deolapar,Dewlapar,Ramtek
50,"UDAY HIGHER PRIMARY SCHOOL, DEOLAPAR",27090604403,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,DEOLAPAR,441401,"UDAY UCHH PRIMARY SCHOOL DEOLAPAR, PO.DEOLAPAR .TA.RAMTEK, DI.NAGPUR",Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Deolapar,Dewlapar,Ramtek
51,"UDAY VIDYALAYA, DEOLAPAR",27090604404,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,DEOLAPAR,441401,BEHIND RURAL HOSPITAL DEOLAPAR,Other State Govt. Managed,Upper Pr. and Secondary,3-Co-educational,8–10,Rural,Operational,Deolapar,Dewlapar,Ramtek
52,SWAMI VIVEKANAND VIDYALAYA AND UCHCHA MADHYAMIK VIDYALAYA DEOLAPAR,27090604405,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,DEOLAPAR,441401,Deolapar Ta.Ramtek Dist.Nagpur 441401,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Deolapar,Dewlapar,Ramtek
53,GURUKUL MYD. ASHRAM SCH. DEOLAPAR,27090604406,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,DEOLAPAR,441401,"At., Post - Deolapar, Tah - Ramtek, Dist - Nagpur 441401",Other State Govt. Managed,Up. Pr. Secondary and Higher Sec,3-Co-educational,8–12,Rural,Operational,Deolapar,Dewlapar,Ramtek
54,"LATE SMT.LAXMIDEVI AGARWALA CONVENT, DEOLAPAR",27090604407,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,DEOLAPAR,441401,At post Deolapar Ta Ramtek Dist Nagpur,Private Unaided (Recognized) ,Primary,3-Co-educational,1–5,Rural,Operational,Deolapar,Dewlapar,Ramtek
55,"Z.P. PS, NIMTOLA",27090604501,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,NIMTOLA,441401,"Z.P.P.SCHOOL NIMTOLA , PO.DEOLAPAR ,TA.RAMTEK , DI.NAGPUR",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Deolapar,Dewlapar,Ramtek
56,"Z.P. PS, KAMATHI",27090604601,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,KAMTHI,441401,"Z.P.P.SCHOOL KAMTHEE , PO.DEOLAPAR ,TA.RAMTEK , DI.NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Kamthi,Dongartal,Ramtek
57,"Z.P. PS, KADBIKHEDA",27090604701,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,KADBIKHEDA,441401,AT KADBIKHEDA POST DEOLAPAR TAH RAMTEK DIST NAGPUR,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Kadbikheda,Dongartal,Ramtek
58,"Z.P. UPS, ZINJERIYA",27090604801,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,ZINJERIYA,441401,AT. ZINJERIYA POST. DEOLAPAR TAH. RAMTEK DIST. NAGPUR- 441401,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Zinzeriya,Dewlapar,Ramtek
59,"Z.P. PS, DONGARTAL",27090604901,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,DONGARTAL,441401,"Z.P.P.SCHOOL DONGARTAL, PO.DEOLAPAR, TA.RAMTEK, DI.NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Dongartal,Dongartal,Ramtek
60,"Z.P. PS, KHIDKI",27090605001,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,KHIDAKI,441401,"Z.P.P.SCHOOL KHIDKI , PO.DEOLAPAR ,TA.RAMTEK, DI.NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Khidki,Katta,Ramtek
61,"Z.P. UPS, TUYAPAR (DEOLAPAR)",27090605101,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,TUYYAPAR DEOLAPAR,441401,"Z.P.PU.P.SCHOOL TUYAPAR , PO.BELADA ,TA.RAMTEK, DI.NAGPUR",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Tuyapar(Belda),Dahoda,Ramtek
62,"Z.P. PS, SINDEWANI",27090605201,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,SINDEWANI,441401,AT. SINDEWANI POST. KATTA TAH. RAMTEK DIST. NAGPUR-441401,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Sindewani,Katta,Ramtek
63,"Z.P. PS, PENDHARAI",27090605301,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,PENDHARAI,441401,"Z.P.PRIMARY SCHOOL PENDHARAI, PO. DEOLAPAR , TA. RAMTEK , DI. NAGPUR.",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pendhari,Katta,Ramtek
64,"Z.P. PS, KATTA",27090605401,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,KATTA,441401,"Z.P.P.SCHOOL KATTA ,PO.DEOLAPAR ,TA.RAMTEK ,DI.NAGPUR",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Katta,Katta,Ramtek
65,"Z.P. PS, WADAMBA",27090605501,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,WADAMBA,441401,AT.POST-WADAMBA TAH-RAMTEK DIST-NAGPUR,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Wadamba (Malgujari),Wadamba,Ramtek
66,"Z.P. HS, WADAMBA",27090605502,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,WADAMBA,441401,AT POST WADAMBA NEAR OF GRAMPANCHYAT ,Local Body,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Wadamba (Malgujari),Wadamba,Ramtek
67,"ST. PETER'S SMILE HIGH SCHOOL& JR. COLLEGE,DEOLAPAR,RAMTEK",27090605503,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,WADAMBA,441401,"At-Wadamba, Po-Deolapar, Ta-Ramtek, Dist-Nagpur",Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Wadamba (Malgujari),Wadamba,Ramtek
68,"Z.P. PS, RAYATWADI",27090605601,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,RAYYATWADI,441401,AT-RAYATWADI POST-WADAMBA TAH-RAMTEK DIST NAGPUR,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Wadamba (Rayatwari),Wadamba,Ramtek
69,"Z.P. PS, NAVEGAON (WADAMBA)",27090605701,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,NAWEGAON WADAMBA,441401,AT.NAVEGAON POST WADAMBA TAH RAMTEK DIST NAGPUR,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Nawegaon 2,Wadamba,Ramtek
70,"Z.P. PS, USARIPAR",27090605801,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,USARIPAR,441401,AT-USARIPAR POST-WADAMBA TAH-RAMTEK DIST-NAGPUR,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Usripar,Dongartal,Ramtek
71,"Z.P. PS, BANDRA",27090605901,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,BANDRA,441401,AT.BANDRA POST.WADAMBA TAH RAMTEK DIST NAGPUR,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Bandra,Bandra,Ramtek
72,EKLAWYA ADI.PRY.ASH.SCH.BANDRA,27090605902,MAHARASHTRA,NAGPUR,RAMTEK,,BANDRA,441401,,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Permanently Closed,Bandra,Bandra,Ramtek
73,EKLAWYA ADI.MDY.ASH.SCH.BANDRA,27090605903,MAHARASHTRA,NAGPUR,RAMTEK,,BANDRA,441401,,Other State Govt. Managed,Upper Pr. and Secondary,3-Co-educational,8–10,Rural,Permanently Closed,Bandra,Bandra,Ramtek
74,"Z.P. PS, JUNEWANI",27090606001,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,JUNEWANI,441401,AT.JUNEWANI POST.WADAMBA TAH.RAMTEK DIST NAGPUR,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Junewani,Wadamba,Ramtek
75,"Z.P. UPS, BELDA",27090606201,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,BELDA,441401,AT.POST-BELDA TAH-RAMTEK DIST-NAGPUR,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Belda,Belda,Ramtek
76,GOVT MDY ASHRAM SCH BELDA,27090606202,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,BELDA,441401,"Belda, Tah- Ramtek, Dist- Nagpur",Tribal Welfare Department,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Belda,Belda,Ramtek
77,"Z.P. PS, NAVEGAON (BELDA)",27090606301,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,NAWEGAON BELDA,441401,AT.NAVEGAON POST BELDA TAH .RAMTEK DIST.NAGPUR,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Nawegaon 2,Wadamba,Ramtek
78,"Z.P. PS, GOREGHAT",27090606401,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,GOREGHAT,441401,AT.GOREGHAT POST.DEOLAPAR TAH RAMTEK DIST.NAGPUR,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Goreghat,Belda,Ramtek
79,"Z.P. UPS, SAWARA",27090606501,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,SAWRA,441401,AT.SAWARA POST-DEOLAPAR TAH-RAMTEK,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Sawara,Dongartal,Ramtek
80,"Z.P. UPS, PINDKAPAR (LODHA)",27090606601,MAHARASHTRA,NAGPUR,RAMTEK,WADAMBA ,PINDKAPAR(LODHA),441401,AT.PINDKAPAR POST LODHA TAH RAMTEK DIST NAGPUR,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Pindkapar(Lodha),Pindakapar(L),Ramtek
81,"Z.P. PS, KARWAHI",27090606801,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,KARWAHI,441401,At Post Karwahi Tah Ramtek Dist Nagpur,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Karwahi,Karwahi,Ramtek
82,"DNYANDEEP VIDYAMANDIR, KARWAHI",27090606802,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,KARWAHI,441401,AT POST KARWAHI TA RAMTEK DIST NAGPUR,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Karwahi,Karwahi,Ramtek
83,"Z.P. UPS, LODHA",27090606901,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,LODHA,441401,At Lodha Post Karwahi Tah Ramtek Dist Nagpur,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Lodha,Pindakapar(L),Ramtek
84,"Z.P. UPS, MANEGAON (TEK)",27090607001,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,MANEGAON TEK,441401,At Post Manegaontek Tah Ramtek Dist Nagpur,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Manegaon Tek,Karwahi,Ramtek
85,"Z.P. PS, GARRA",27090607101,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,GARRA,441401,At Garra Post Manegaontek Tah Ramtek Dist Nagpur,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Garra,Bandra,Ramtek
